FIPS,State Name,State,2015 Food Insecurity Rate,# of Food Insecure Persons in 2015 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child Food Insecurity Rate,# of Food Insecure Children in 2015,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2015,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2015,2015 Cost Per Meal,2015 Weighted Annual Food Budget Shortfall
1,Alabama,AL,17.7%,"859,380",130%,SNAP,185%,Other Nutrition Program,53.9%,17.9%,28.2%,24.1%,"267,040",73%,27%,$2.92,"$450,670,000"
2,Alaska,AK,13.9%,"102,670",130%,SNAP,185%,Other Nutrition Program,43.7%,17.5%,38.9%,19.6%,"36,560",61%,39%,$3.41,"$62,743,000"
4,Arizona,AZ,15.8%,"1,078,190",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.3%,,30.7%,24.0%,"389,850",69%,31%,$2.81,"$543,084,000"
5,Arkansas,AR,18.4%,"549,070",130%,SNAP,185%,Other Nutrition Program,55.7%,17.4%,26.9%,25.0%,"176,710",72%,28%,$2.72,"$267,757,000"
6,California,CA,12.5%,"4,885,220",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",77.0%,,23.0%,20.7%,"1,890,050",68%,32%,$3.14,"$2,750,484,000"
8,Colorado,CO,12.2%,"665,220",130%,SNAP,185%,Other Nutrition Program,46.7%,17.0%,36.4%,16.5%,"207,650",63%,37%,$3.09,"$368,403,000"
9,Connecticut,CT,12.2%,"437,530",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",57.8%,,42.2%,16.7%,"127,400",60%,40%,$3.12,"$244,830,000"
10,Delaware,DE,12.1%,"114,060",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.6%,,33.4%,17.3%,"35,310",70%,30%,$3.04,"$62,102,000"
11,District of Columbia,DC,12.6%,"84,540",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.7%,,26.3%,23.6%,"27,800",72%,28%,$3.61,"$54,660,000"
12,Florida,FL,15.1%,"3,056,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.3%,,26.7%,22.7%,"930,730",71%,29%,$3.11,"$1,702,052,000"
13,Georgia,GA,16.2%,"1,659,710",130%,SNAP,185%,Other Nutrition Program,54.2%,18.7%,27.1%,23.2%,"580,830",71%,29%,$2.88,"$858,223,000"
15,Hawaii,HI,12.8%,"182,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",53.7%,,46.3%,20.1%,"62,600",44%,56%,$3.23,"$105,633,000"
16,Idaho,ID,14.0%,"232,180",130%,SNAP,185%,Other Nutrition Program,48.2%,22.5%,29.4%,17.6%,"76,070",67%,33%,$2.92,"$121,760,000"
17,Illinois,IL,11.7%,"1,506,060",165%,SNAP,185%,Other Nutrition Program,63.8%,5.6%,30.7%,17.3%,"513,270",68%,32%,$2.72,"$735,098,000"
18,Indiana,IN,14.4%,"950,720",130%,SNAP,185%,Other Nutrition Program,53.8%,17.2%,29.1%,19.1%,"301,990",72%,28%,$2.61,"$445,335,000"
19,Iowa,IA,12.0%,"376,240",160%,SNAP,185%,Other Nutrition Program,53.8%,7.9%,38.3%,16.7%,"121,550",60%,40%,$2.67,"$179,954,000"
20,Kansas,KS,13.2%,"385,000",130%,SNAP,185%,Other Nutrition Program,48.4%,17.0%,34.6%,19.2%,"138,480",65%,35%,$2.84,"$195,772,000"
21,Kentucky,KY,15.8%,"699,590",130%,SNAP,185%,Other Nutrition Program,57.6%,15.1%,27.3%,20.0%,"202,050",74%,26%,$2.67,"$334,999,000"
22,Louisiana,LA,16.9%,"789,330",130%,SNAP,185%,Other Nutrition Program,57.5%,15.1%,27.4%,23.4%,"261,230",72%,28%,$2.81,"$397,791,000"
23,Maine,ME,14.8%,"196,210",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.0%,,37.0%,21.4%,"54,830",64%,36%,$3.31,"$116,402,000"
24,Maryland,MD,11.4%,"682,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",62.0%,,38.0%,16.3%,"220,010",59%,41%,$3.03,"$370,097,000"
25,Massachusetts,MA,10.3%,"701,630",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.9%,,33.2%,13.5%,"187,290",68%,32%,$3.25,"$408,919,000"
26,Michigan,MI,15.1%,"1,493,790",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.9%,,26.1%,18.0%,"397,070",70%,30%,$2.76,"$739,172,000"
27,Minnesota,MN,9.9%,"540,820",165%,SNAP,185%,Other Nutrition Program,60.2%,6.1%,33.7%,13.8%,"177,080",70%,30%,$2.91,"$282,661,000"
28,Mississippi,MS,21.5%,"643,390",130%,SNAP,185%,Other Nutrition Program,57.5%,17.1%,25.4%,26.3%,"191,750",75%,25%,$2.88,"$332,456,000"
29,Missouri,MO,15.6%,"947,900",130%,SNAP,185%,Other Nutrition Program,50.4%,18.7%,30.9%,18.6%,"258,610",66%,34%,$2.73,"$464,284,000"
30,Montana,MT,13.0%,"133,810",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.6%,,33.4%,18.8%,"42,480",60%,40%,$2.86,"$68,716,000"
31,Nebraska,NE,12.3%,"233,350",130%,SNAP,185%,Other Nutrition Program,44.8%,15.9%,39.4%,18.3%,"85,970",61%,39%,$2.77,"$115,937,000"
32,Nevada,NV,13.7%,"394,910",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.9%,,25.1%,22.4%,"149,460",66%,34%,$2.98,"$210,694,000"
33,New Hampshire,NH,9.7%,"128,910",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.1%,,49.9%,12.9%,"33,940",51%,49%,$3.16,"$73,100,000"
34,New Jersey,NJ,10.8%,"971,920",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.8%,,31.2%,14.9%,"298,010",68%,32%,$3.04,"$530,406,000"
35,New Mexico,NM,16.0%,"332,610",165%,SNAP,185%,Other Nutrition Program,70.9%,6.1%,22.9%,25.0%,"124,980",73%,27%,$2.79,"$166,502,000"
36,New York,NY,12.6%,"2,502,250",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.3%,,25.7%,19.4%,"819,460",67%,33%,$3.06,"$1,371,215,000"
37,North Carolina,NC,16.5%,"1,659,050",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.7%,,25.3%,22.6%,"516,120",73%,27%,$2.84,"$844,234,000"
38,North Dakota,ND,7.7%,"58,030",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",60.1%,,39.9%,9.4%,"16,130",54%,46%,$2.94,"$30,625,000"
39,Ohio,OH,16.0%,"1,852,870",130%,SNAP,185%,Other Nutrition Program,52.2%,15.5%,32.2%,21.9%,"575,020",67%,33%,$2.72,"$903,221,000"
40,Oklahoma,OK,16.2%,"632,030",130%,SNAP,185%,Other Nutrition Program,51.1%,17.6%,31.4%,22.6%,"216,980",66%,34%,$2.82,"$320,046,000"
41,Oregon,OR,14.2%,"572,790",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.4%,,25.6%,22.5%,"194,070",65%,35%,$2.91,"$298,910,000"
42,Pennsylvania,PA,13.1%,"1,674,420",160%,SNAP,185%,Other Nutrition Program,57.1%,7.9%,35.0%,17.9%,"482,130",67%,33%,$2.93,"$880,598,000"
44,Rhode Island,RI,12.5%,"132,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",68.3%,,31.7%,18.1%,"38,430",71%,29%,$3.04,"$71,928,000"
45,South Carolina,SC,15.3%,"746,810",130%,SNAP,185%,Other Nutrition Program,55.2%,18.9%,25.9%,20.7%,"225,550",69%,31%,$2.83,"$378,951,000"
46,South Dakota,SD,12.1%,"104,140",130%,SNAP,185%,Other Nutrition Program,48.5%,14.9%,36.6%,18.0%,"37,670",64%,36%,$2.94,"$54,897,000"
47,Tennessee,TN,15.4%,"1,016,420",130%,SNAP,185%,Other Nutrition Program,55.8%,19.0%,25.1%,21.1%,"315,370",73%,27%,$2.94,"$535,957,000"
48,Texas,TX,15.7%,"4,320,050",165%,SNAP,185%,Other Nutrition Program,63.3%,5.6%,31.0%,23.8%,"1,713,430",66%,34%,$2.59,"$2,007,143,000"
49,Utah,UT,13.1%,"391,610",130%,SNAP,185%,Other Nutrition Program,44.0%,18.8%,37.2%,16.4%,"149,790",57%,43%,$2.79,"$195,913,000"
50,Vermont,VT,11.9%,"74,600",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.9%,,35.1%,15.7%,"18,820",62%,38%,$3.39,"$45,311,000"
51,Virginia,VA,11.2%,"935,480",130%,SNAP,185%,Other Nutrition Program,48.8%,18.5%,32.8%,14.4%,"268,670",64%,36%,$3.03,"$508,587,000"
53,Washington,WA,12.8%,"915,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.4%,,30.6%,19.0%,"306,560",64%,36%,$2.98,"$489,610,000"
54,West Virginia,WV,14.9%,"275,280",130%,SNAP,185%,Other Nutrition Program,52.7%,17.0%,30.2%,20.8%,"79,050",68%,32%,$2.68,"$132,485,000"
55,Wisconsin,WI,11.0%,"633,170",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.1%,,29.9%,17.0%,"219,280",65%,35%,$2.71,"$307,507,000"
56,Wyoming,WY,12.3%,"72,260",130%,SNAP,185%,Other Nutrition Program,41.9%,17.1%,41.0%,16.9%,"23,550",56%,44%,$3.01,"$38,980,000"
